"probe_id","symbol"
"1003_at_AB_1:11","CDH5"
"1004_at","CDH6"
"1005_at","CDH7"
"1006_at","CDH8"
"1007_at","CDH9"
"1008_at","CDH10"
"1009_at","CDH11"
"1010_at","CDH12"
"1012_at_AB_1:33","CDH13"
"1012_at_AB_34:56","CDH13"
"1013_at","CDH15"
"1014_at","CDH16"
"1015_at","CDH17"
"1016_at","CDH18"
"1017_at","CDK2"
"1019_at_AB_1:25","CDK4"
"1019_at_AB_26:36","CDK4"
"1020_at","CDK5"
"1021_at","CDK6"
"1022_at","CDK7"
"1024_at","CDK8"
"1025_at","CDK9"
"1026_at","CDKN1A"
"1027_at","CDKN1B"
"1028_at","CDKN1C"
"1029_at","CDKN2A"
"1030_at_AB_12:33","CDKN2B"
"1030_at_AB_1:11","CDKN2B"
"1031_at","CDKN2C"
"1032_at","CDKN2D"
"1033_at_AB_16:46;53","CDKN3"
"1033_at_AB_1:15;47:52","CDKN3"
"1036_at","CDO1"
"1038_at","CDR1"
"1039_at","CDR2"
"1040_at","CDS1"
"1041_at","CDSN"
"1043_at","CD52"
"1044_at","CDX1"
"1045_at","CDX2"
"1046_at","CDX4"
"1047_at","CLGN"
"1048_at","CEACAM5"
"1050_at","CEBPA"
"1051_at","CEBPB"
"1052_at","CEBPD"
"1053_at","CEBPE"
"1054_at","CEBPG"
"1056_at","CEL"
"1058_at","CENPA"
"1059_at","CENPB"
"1060_at","CENPC"
"1062_at","CENPE"
"1063_at","CENPF"
"1068_at","CETN1"
"1069_at","CETN2"
"1070_at","CETN3"
"1071_at","CETP"
"1072_at","CFL1"
"1073_at","CFL2"
"1075_at_AB_21:31","CTSC"
"1075_at_AB_10:20","CTSC"
"1075_at_AB_1:9","CTSC"
"1080_at","CFTR"
"1081_at","CGA"
"1084_at","CEACAM3"
"1087_at","CEACAM7"
"1088_at","CEACAM8"
"1089_at","CEACAM4"
"1101_at","CHAD"
"1102_at","RCBTB2"
"1103_at","CHAT"
"1104_at_AB_11:21","RCC1"
"1104_at_AB_1:10","RCC1"
"1105_at","CHD1"
"1106_at_AB_10:20","CHD2"
"1106_at_AB_1:9","CHD2"
"1107_at","CHD3"
"1108_at_AB_1:18","CHD4"
"1108_at_AB_19:29","CHD4"
"1109_at","AKR1C4"
"1111_at","CHEK1"
"1112_at_AB_6:18","FOXN3"
"1112_at_AB_1:5","FOXN3"
"1113_at","CHGA"
"1114_at","CHGB"
"1116_at","CHI3L1"
"1117_at","CHI3L2"
"1118_at","CHIT1"
"1119_at","CHKA"
"1121_at","CHM"
"1122_at","CHML"
